,pid,Ted Budd,Cheri Beasley,Shannon W. Bray,Matthew Hoh,Write-In (Miscellaneous),Michelle Estelle Lewis,County,prec_id,d_margin
0,ALAMANCE_01,1702,393,29,14,2,,ALAMANCE,01,-62.482100238663485
1,ALAMANCE_02,1872,423,29,12,1,,ALAMANCE,02,-63.13725490196078
2,ALAMANCE_035,1196,853,36,12,0,,ALAMANCE,035,-16.739873108833578
3,ALAMANCE_03C,934,679,21,15,0,,ALAMANCE,03C,-15.809051456912584
4,ALAMANCE_03N,895,770,13,10,0,,ALAMANCE,03N,-7.5075075075075075
5,ALAMANCE_03N2,191,348,4,5,1,,ALAMANCE,03N2,29.12801484230056
6,ALAMANCE_03S,1836,1812,45,21,2,,ALAMANCE,03S,-0.6578947368421052
7,ALAMANCE_03W,1072,717,32,17,2,,ALAMANCE,03W,-19.84348798211291
8,ALAMANCE_04,1766,477,32,12,2,,ALAMANCE,04,-57.467677218011595
9,ALAMANCE_05,1309,300,19,7,2,,ALAMANCE,05,-62.709757613424486
10,ALAMANCE_063,391,677,13,8,0,,ALAMANCE,063,26.779026217228463
11,ALAMANCE_064,1560,1106,38,19,0,,ALAMANCE,064,-17.029257314328582
12,ALAMANCE_06E,557,578,17,8,0,,ALAMANCE,06E,1.8502202643171806
13,ALAMANCE_06N,345,538,21,8,1,,ALAMANCE,06N,21.857304643261607
14,ALAMANCE_06S,929,669,27,11,2,,ALAMANCE,06S,-16.270337922403
15,ALAMANCE_06W,231,227,5,8,0,,ALAMANCE,06W,-0.8733624454148471
16,ALAMANCE_07,1511,437,22,13,2,,ALAMANCE,07,-55.13347022587269
17,ALAMANCE_08N,1013,609,21,12,1,,ALAMANCE,08N,-24.907521578298397
18,ALAMANCE_08S,623,259,17,6,0,,ALAMANCE,08S,-41.269841269841265
19,ALAMANCE_09N,734,628,21,7,1,,ALAMANCE,09N,-7.782672540381791
20,ALAMANCE_09S,1608,1054,51,21,2,,ALAMANCE,09S,-20.811419984973703
21,ALAMANCE_103,1193,778,28,9,2,,ALAMANCE,103,-21.055301877219684
22,ALAMANCE_104,429,720,15,16,3,,ALAMANCE,104,25.326370757180154
23,ALAMANCE_10N,1224,875,30,20,0,,ALAMANCE,10N,-16.626965221534064
24,ALAMANCE_10S1,1366,1713,43,26,3,,ALAMANCE,10S1,11.269892822344916
25,ALAMANCE_11,962,874,27,9,1,,ALAMANCE,11,-4.793028322440087
26,ALAMANCE_1210,378,431,10,8,1,,ALAMANCE,1210,6.551297898640297
27,ALAMANCE_124,496,478,17,7,0,,ALAMANCE,124,-1.8480492813141685
28,ALAMANCE_125,643,445,17,4,0,,ALAMANCE,125,-18.198529411764707
29,ALAMANCE_126,678,534,15,8,0,,ALAMANCE,126,-11.881188118811881
30,ALAMANCE_127,495,1305,21,14,1,,ALAMANCE,127,45.0
31,ALAMANCE_128,212,467,7,2,0,,ALAMANCE,128,37.55522827687776
32,ALAMANCE_129,645,373,10,3,0,,ALAMANCE,129,-26.719056974459725
33,ALAMANCE_12E,192,362,13,7,0,,ALAMANCE,12E,30.685920577617328
34,ALAMANCE_12N,195,1139,17,13,0,,ALAMANCE,12N,70.76461769115441
35,ALAMANCE_12S,138,261,7,3,0,,ALAMANCE,12S,30.82706766917293
36,ALAMANCE_12W,481,644,22,7,0,,ALAMANCE,12W,14.48888888888889
37,ALAMANCE_13,864,913,25,10,0,,ALAMANCE,13,2.7574563871693867
38,ALEXANDER_B1,1397,402,25,15,4,,ALEXANDER,B1,-55.30850472484714
39,ALEXANDER_B2,1664,448,26,13,2,,ALEXANDER,B2,-57.57575757575758
40,ALEXANDER_E,1178,292,23,15,1,,ALEXANDER,E,-60.27210884353742
41,ALEXANDER_G1G2,826,171,10,15,1,,ALEXANDER,G1G2,-65.69709127382146
42,ALEXANDER_LRSL,1036,177,30,4,4,,ALEXANDER,LRSL,-70.8161582852432
43,ALEXANDER_M,732,198,17,10,0,,ALEXANDER,M,-57.41935483870968
44,ALEXANDER_S1S2,1252,246,32,16,0,,ALEXANDER,S1S2,-67.1562082777036
45,ALEXANDER_T1T4T5,1668,507,44,25,4,,ALEXANDER,T1T4T5,-53.37931034482759
46,ALEXANDER_T2T3,1160,383,22,15,0,,ALEXANDER,T2T3,-50.35644847699287
47,ALEXANDER_W,920,207,14,12,2,,ALEXANDER,W,-63.26530612244898
48,ALLEGHANY_01,287,51,11,3,0,,ALLEGHANY,01,-69.8224852071006
49,ALLEGHANY_03A,483,112,11,11,0,,ALLEGHANY,03A,-62.35294117647059
50,ALLEGHANY_04,339,46,10,3,0,,ALLEGHANY,04,-76.1038961038961
51,ALLEGHANY_06A,328,77,5,0,0,,ALLEGHANY,06A,-61.97530864197531
52,ALLEGHANY_ABSENTEE BY MAIL,72,98,2,2,0,,ALLEGHANY,ABSENTEE BY MAIL,15.294117647058824
53,ALLEGHANY_ONE STOP,2129,863,45,18,2,,ALLEGHANY,ONE STOP,-42.31283422459893
54,ALLEGHANY_PROVISIONAL,10,2,1,0,0,,ALLEGHANY,PROVISIONAL,-66.66666666666666
55,ANSON_ANS,308,204,8,6,1,,ANSON,ANS,-20.3125
56,ANSON_BURN,602,156,9,4,0,,ANSON,BURN,-58.839050131926115
57,ANSON_GULL,240,247,8,0,1,,ANSON,GULL,1.4373716632443532
58,ANSON_LILE,493,611,9,4,1,,ANSON,LILE,10.68840579710145
59,ANSON_MM,124,351,4,1,0,,ANSON,MM,47.78947368421053
60,ANSON_PEAC,573,114,11,0,1,,ANSON,PEAC,-66.8122270742358
61,ANSON_POLK,263,121,16,2,2,,ANSON,POLK,-36.97916666666667
62,ANSON_WADES,985,1459,22,18,0,,ANSON,WADES,19.394435351882162
63,ANSON_WS,123,61,0,0,0,,ANSON,WS,-33.69565217391305
64,ASHE_02,559,152,6,4,0,,ASHE,02,-57.24331926863573
65,ASHE_03,234,65,1,1,0,,ASHE,03,-56.52173913043478
66,ASHE_04,178,113,2,3,0,,ASHE,04,-22.336769759450174
67,ASHE_06,222,72,9,1,0,,ASHE,06,-51.02040816326531
68,ASHE_07,134,60,7,2,0,,ASHE,07,-38.144329896907216
69,ASHE_08,80,36,2,2,0,,ASHE,08,-37.93103448275862
70,ASHE_09,1328,516,26,13,1,,ASHE,09,-44.03470715835141
71,ASHE_10,100,37,4,1,0,,ASHE,10,-45.98540145985402
72,ASHE_11,823,301,15,13,1,,ASHE,11,-46.44128113879004
73,ASHE_12,270,105,7,1,1,,ASHE,12,-44.0
74,ASHE_13,522,197,4,5,0,,ASHE,13,-45.20166898470097
75,ASHE_14,999,473,20,8,2,,ASHE,14,-35.733695652173914
76,ASHE_15,467,91,11,3,0,,ASHE,15,-67.38351254480287
77,ASHE_16,850,383,26,10,0,,ASHE,16,-37.87510137875101
78,ASHE_17,359,87,7,1,1,,ASHE,17,-60.98654708520179
79,ASHE_18,69,20,6,0,0,,ASHE,18,-55.0561797752809
80,ASHE_20,1177,464,34,12,1,,ASHE,20,-43.449116392443635
81,AVERY_01,290,66,3,4,0,,AVERY,01,-62.92134831460674
82,AVERY_02,530,212,8,15,0,,AVERY,02,-42.857142857142854
83,AVERY_03,193,18,7,1,0,,AVERY,03,-82.93838862559242
84,AVERY_04,27,4,0,0,0,,AVERY,04,-74.19354838709677
85,AVERY_05,105,12,0,0,0,,AVERY,05,-79.48717948717949
86,AVERY_06,244,36,5,4,0,,AVERY,06,-74.28571428571429
87,AVERY_07,94,9,0,1,1,,AVERY,07,-82.52427184466019
88,AVERY_08,143,26,2,0,0,,AVERY,08,-69.23076923076923
89,AVERY_09,142,17,4,0,0,,AVERY,09,-78.61635220125787
90,AVERY_10,259,45,5,2,0,,AVERY,10,-70.39473684210526
91,AVERY_11,121,55,2,3,0,,AVERY,11,-37.5
92,AVERY_12,103,12,1,0,0,,AVERY,12,-79.13043478260869
93,AVERY_13,138,57,3,2,0,,AVERY,13,-41.53846153846154
94,AVERY_14,236,49,1,0,1,,AVERY,14,-65.6140350877193
95,AVERY_15,159,28,2,0,0,,AVERY,15,-70.05347593582889
96,AVERY_16,333,131,10,4,0,,AVERY,16,-43.53448275862069
97,AVERY_17,231,22,6,4,0,,AVERY,17,-82.6086956521739
98,AVERY_18,116,12,0,1,0,,AVERY,18,-81.25
99,AVERY_19,125,7,1,1,1,,AVERY,19,-89.39393939393939
100,AVERY_ABSENTEE,92,91,2,1,0,,AVERY,ABSENTEE,-0.546448087431694
101,AVERY_ONE STOP,1346,667,29,8,1,,AVERY,ONE STOP,-33.730750124192745
102,AVERY_PROVISIONAL,52,12,1,2,0,,AVERY,PROVISIONAL,-62.5
103,AVERY_TRANSFER,10,7,0,1,0,,AVERY,TRANSFER,-17.647058823529413
104,BEAUFORT_AUROR,160,125,4,3,0,0.0,BEAUFORT,AUROR,-12.280701754385964
105,BEAUFORT_BEADM,357,38,3,1,0,0.0,BEAUFORT,BEADM,-80.75949367088607
106,BEAUFORT_BELHV,275,152,3,3,0,0.0,BEAUFORT,BELHV,-28.805620608899297
107,BEAUFORT_BLCK,197,104,6,2,0,0.0,BEAUFORT,BLCK,-30.89700996677741
108,BEAUFORT_CHOCO,475,186,14,2,0,0.0,BEAUFORT,CHOCO,-43.72163388804841
109,BEAUFORT_EDWAR,203,82,7,1,0,0.0,BEAUFORT,EDWAR,-42.45614035087719
110,BEAUFORT_GILEA,307,112,5,1,0,0.0,BEAUFORT,GILEA,-46.53937947494033
111,BEAUFORT_HB,283,25,5,1,1,0.0,BEAUFORT,HB,-83.76623376623377
112,BEAUFORT_NCRK,449,82,7,1,1,0.0,BEAUFORT,NCRK,-69.11487758945385
113,BEAUFORT_OLDF,271,138,7,0,0,0.0,BEAUFORT,OLDF,-32.51833740831296
114,BEAUFORT_PANTE,283,67,3,1,0,0.0,BEAUFORT,PANTE,-61.71428571428571
115,BEAUFORT_PINET,332,31,12,4,0,0.0,BEAUFORT,PINET,-82.92011019283747
116,BEAUFORT_PSJW3,61,178,3,2,0,0.0,BEAUFORT,PSJW3,48.95397489539749
117,BEAUFORT_RVRD,423,138,16,2,0,0.0,BEAUFORT,RVRD,-50.80213903743316
118,BEAUFORT_SURBA,630,131,17,3,0,0.0,BEAUFORT,SURBA,-65.57161629434954
119,BEAUFORT_TCRK,503,137,9,5,1,0.0,BEAUFORT,TCRK,-57.1875
120,BEAUFORT_WASH1,146,183,6,1,0,0.0,BEAUFORT,WASH1,11.246200607902736
121,BEAUFORT_WASH2,90,126,5,2,0,0.0,BEAUFORT,WASH2,16.666666666666664
122,BEAUFORT_WASH4,224,143,4,1,0,0.0,BEAUFORT,WASH4,-22.070844686648503
123,BEAUFORT_WASHP,255,102,4,7,1,0.0,BEAUFORT,WASHP,-42.857142857142854
124,BEAUFORT_WDPD,376,68,9,5,0,0.0,BEAUFORT,WDPD,-69.36936936936937
125,BEAUFORT_ABSENTEE,181,306,8,6,0,0.0,BEAUFORT,ABSENTEE,25.667351129363446
126,BEAUFORT_OS-AURA,166,197,2,2,0,0.0,BEAUFORT,OS-AURA,8.539944903581267
127,BEAUFORT_OS-BELH,360,238,9,2,0,0.0,BEAUFORT,OS-BELH,-20.401337792642142
128,BEAUFORT_OS-BOE,3969,2557,79,38,0,1.0,BEAUFORT,OS-BOE,-21.636530799877413
129,BEAUFORT_OS-CHOCO,1345,593,36,7,1,1.0,BEAUFORT,OS-CHOCO,-38.80288957688339
130,BEAUFORT_PROVISIONAL,17,6,0,0,0,0.0,BEAUFORT,PROVISIONAL,-47.82608695652174
131,BEAUFORT_TRANSFER,0,0,0,0,0,0.0,BEAUFORT,TRANSFER,
132,BERTIE_C1,180,40,0,1,0,,BERTIE,C1,-63.63636363636363
133,BERTIE_C2,94,102,0,0,0,,BERTIE,C2,4.081632653061225
134,BERTIE_IW,10,75,1,0,0,,BERTIE,IW,76.47058823529412
135,BERTIE_M1,136,64,0,1,0,,BERTIE,M1,-36.0
136,BERTIE_M2,116,130,1,1,0,,BERTIE,M2,5.691056910569105
137,BERTIE_MH,127,92,1,1,0,,BERTIE,MH,-15.981735159817351
138,BERTIE_RX,94,221,3,3,0,,BERTIE,RX,40.317460317460316
139,BERTIE_SN,44,92,0,0,0,,BERTIE,SN,35.294117647058826
140,BERTIE_W1,223,292,12,2,0,,BERTIE,W1,13.398058252427184
141,BERTIE_W2,268,7,1,1,0,,BERTIE,W2,-94.9090909090909
142,BERTIE_WD,32,149,3,1,0,,BERTIE,WD,64.64088397790056
143,BERTIE_WH,200,91,2,1,0,,BERTIE,WH,-37.45704467353952
144,BERTIE_ABSENTEE,19,81,5,0,0,,BERTIE,ABSENTEE,62.0
145,BERTIE_OS-LOB,921,1496,21,13,0,,BERTIE,OS-LOB,23.789822093504345
146,BERTIE_OS-POW,313,552,8,2,1,,BERTIE,OS-POW,27.630057803468205
147,BERTIE_PROVISIONAL,4,8,1,0,0,,BERTIE,PROVISIONAL,33.33333333333333
148,BLADEN_P10,111,47,2,0,0,,BLADEN,P10,-40.50632911392405
149,BLADEN_P15,391,122,12,5,1,,BLADEN,P15,-52.436647173489284
150,BLADEN_P201,318,40,8,1,0,,BLADEN,P201,-77.6536312849162
151,BLADEN_P202,328,79,4,3,1,,BLADEN,P202,-61.17936117936118
152,BLADEN_P25,170,99,3,3,0,,BLADEN,P25,-26.394052044609666
153,BLADEN_P30,66,80,2,1,0,,BLADEN,P30,9.58904109589041
154,BLADEN_P35,72,51,3,1,0,,BLADEN,P35,-17.073170731707318
155,BLADEN_P40,371,89,8,4,0,,BLADEN,P40,-61.30434782608696
156,BLADEN_P45,129,39,2,2,0,,BLADEN,P45,-53.57142857142857
157,BLADEN_P501,249,205,8,5,1,,BLADEN,P501,-9.691629955947137
158,BLADEN_P502,129,122,3,0,1,,BLADEN,P502,-2.788844621513944
159,BLADEN_P55,147,89,1,3,0,,BLADEN,P55,-24.576271186440678
160,BLADEN_P60,168,131,4,2,0,,BLADEN,P60,-12.37458193979933
161,BLADEN_P65,201,52,1,2,0,,BLADEN,P65,-58.89328063241107
162,BLADEN_P70,108,69,3,1,0,,BLADEN,P70,-22.033898305084744
163,BLADEN_P75,116,154,1,1,0,,BLADEN,P75,14.074074074074074
164,BLADEN_P80,195,83,5,1,1,,BLADEN,P80,-40.28776978417266
165,BLADEN_ABSENTEE,77,145,1,4,0,,BLADEN,ABSENTEE,30.630630630630627
166,BLADEN_OS BOE,1602,1692,35,27,1,,BLADEN,OS BOE,2.73224043715847
167,BLADEN_OS EA,44,508,3,0,0,,BLADEN,OS EA,84.05797101449275
168,BLADEN_OS SM,763,385,16,9,0,,BLADEN,OS SM,-32.926829268292686
169,BLADEN_OS T,445,343,12,4,0,,BLADEN,OS T,-12.944162436548224
170,BLADEN_OSDU,537,164,12,4,1,,BLADEN,OSDU,-53.20970042796006
171,BLADEN_PROVISIONAL,8,11,0,0,0,,BLADEN,PROVISIONAL,15.789473684210526
172,BRUNSWICK_CB01,552,324,14,5,1,0.0,BRUNSWICK,CB01,-26.027397260273972
173,BRUNSWICK_CB02,2244,1016,41,26,3,0.0,BRUNSWICK,CB02,-37.668711656441715
174,BRUNSWICK_CB03,1129,459,23,14,1,0.0,BRUNSWICK,CB03,-42.19143576826197
175,BRUNSWICK_CB04,1569,517,46,22,0,0.0,BRUNSWICK,CB04,-50.43144774688398
176,BRUNSWICK_CB05,1438,600,29,16,2,0.0,BRUNSWICK,CB05,-41.118743866535816
177,BRUNSWICK_CB06,2200,1090,33,20,3,0.0,BRUNSWICK,CB06,-33.73860182370821
178,BRUNSWICK_NB01,496,387,11,3,2,0.0,BRUNSWICK,NB01,-12.344280860702153
179,BRUNSWICK_NB02,2243,1887,52,39,1,0.0,BRUNSWICK,NB02,-8.619854721549638
180,BRUNSWICK_NB03,1417,678,43,27,4,1.0,BRUNSWICK,NB03,-35.27446300715991
181,BRUNSWICK_NB04,2362,1943,57,33,1,0.0,BRUNSWICK,NB04,-9.732868757259002
182,BRUNSWICK_NB05,760,717,17,12,0,0.0,BRUNSWICK,NB05,-2.911306702775897
183,BRUNSWICK_NB06,2051,1997,40,20,2,0.0,BRUNSWICK,NB06,-1.33399209486166
184,BRUNSWICK_NB07,2409,1802,55,33,4,0.0,BRUNSWICK,NB07,-14.41462835431014
185,BRUNSWICK_SB01,632,380,12,6,2,0.0,BRUNSWICK,SB01,-24.90118577075099
186,BRUNSWICK_SB02,1930,807,58,32,3,0.0,BRUNSWICK,SB02,-41.03032517354768
187,BRUNSWICK_SB03,3897,2687,52,27,3,0.0,BRUNSWICK,SB03,-18.377885783718103
188,BRUNSWICK_SB04,1232,926,20,13,1,0.0,BRUNSWICK,SB04,-14.17979610750695
189,BRUNSWICK_SB05,1096,815,30,13,4,0.0,BRUNSWICK,SB05,-14.704343275771848
190,BRUNSWICK_SB06,1441,785,39,15,2,0.0,BRUNSWICK,SB06,-29.469901168014374
191,BRUNSWICK_SB07,1312,727,30,22,3,0.0,BRUNSWICK,SB07,-28.690534575772435
192,BRUNSWICK_SB08,924,554,21,10,1,0.0,BRUNSWICK,SB08,-25.033829499323414
193,BRUNSWICK_WB01,749,164,13,2,0,0.0,BRUNSWICK,WB01,-64.07447973713035
194,BRUNSWICK_WB02,2516,1183,48,31,4,0.0,BRUNSWICK,WB02,-36.036766693701
195,BRUNSWICK_WB03,380,281,5,3,0,0.0,BRUNSWICK,WB03,-14.977307110438728
196,BRUNSWICK_WB04,2917,1414,43,31,5,0.0,BRUNSWICK,WB04,-34.7033017778804
197,BRUNSWICK_WB05,1897,1140,35,20,1,0.0,BRUNSWICK,WB05,-24.925913730655253
198,BRUNSWICK_WB06,3118,1405,53,27,1,0.0,BRUNSWICK,WB06,-37.87309307981428
199,BUNCOMBE_01.1,74,421,17,12,0,0.0,BUNCOMBE,01.1,70.1010101010101
200,BUNCOMBE_02.1,64,687,7,15,1,0.0,BUNCOMBE,02.1,82.9560585885486
201,BUNCOMBE_03.1,66,582,7,7,0,0.0,BUNCOMBE,03.1,79.62962962962963
202,BUNCOMBE_04.1,81,335,5,5,1,0.0,BUNCOMBE,04.1,61.057692307692314
203,BUNCOMBE_05.1,157,526,8,9,0,0.0,BUNCOMBE,05.1,54.02635431918009
204,BUNCOMBE_06.1,84,295,14,4,0,0.0,BUNCOMBE,06.1,55.67282321899736
205,BUNCOMBE_07.1,82,536,5,6,0,0.0,BUNCOMBE,07.1,73.46278317152104
206,BUNCOMBE_08.2,122,407,13,10,0,0.0,BUNCOMBE,08.2,53.875236294896034
207,BUNCOMBE_08.3,133,467,18,13,0,0.0,BUNCOMBE,08.3,55.666666666666664
208,BUNCOMBE_09.1,268,787,19,21,1,1.0,BUNCOMBE,09.1,49.19431279620853
209,BUNCOMBE_10.1,30,290,8,9,1,0.0,BUNCOMBE,10.1,81.25
210,BUNCOMBE_11.1,32,283,5,11,0,0.0,BUNCOMBE,11.1,79.68253968253968
211,BUNCOMBE_12.1,90,593,15,24,0,0.0,BUNCOMBE,12.1,73.64568081991216
212,BUNCOMBE_13.1,81,477,7,12,0,0.0,BUNCOMBE,13.1,70.96774193548387
213,BUNCOMBE_14.2,86,443,11,16,0,0.0,BUNCOMBE,14.2,67.48582230623819
214,BUNCOMBE_14.3,60,237,9,11,0,0.0,BUNCOMBE,14.3,59.59595959595959
215,BUNCOMBE_15.1,84,554,14,11,1,0.0,BUNCOMBE,15.1,73.66771159874608
216,BUNCOMBE_16.2,117,578,13,20,0,0.0,BUNCOMBE,16.2,66.33093525179856
217,BUNCOMBE_17.1,101,410,8,8,0,0.0,BUNCOMBE,17.1,60.46966731898239
218,BUNCOMBE_18.2,374,699,23,11,1,0.0,BUNCOMBE,18.2,30.288909599254428
219,BUNCOMBE_19.1,103,216,5,8,0,0.0,BUNCOMBE,19.1,35.42319749216301
220,BUNCOMBE_20.1,48,203,3,5,0,0.0,BUNCOMBE,20.1,61.75298804780876
221,BUNCOMBE_21.1,240,452,13,8,1,0.0,BUNCOMBE,21.1,30.63583815028902
222,BUNCOMBE_22.2,156,446,5,6,0,0.0,BUNCOMBE,22.2,48.17275747508305
223,BUNCOMBE_23.2,30,85,1,1,0,0.0,BUNCOMBE,23.2,47.82608695652174
224,BUNCOMBE_23.3,78,164,1,3,2,0.0,BUNCOMBE,23.3,35.53719008264463
225,BUNCOMBE_24.1,237,353,11,12,2,0.0,BUNCOMBE,24.1,19.661016949152543
226,BUNCOMBE_25.1,167,356,14,11,0,0.0,BUNCOMBE,25.1,36.137667304015295
227,BUNCOMBE_26.1,86,365,12,13,1,0.0,BUNCOMBE,26.1,61.86252771618626
228,BUNCOMBE_27.2,68,161,1,3,0,0.0,BUNCOMBE,27.2,40.61135371179039
229,BUNCOMBE_28.1,50,440,7,17,0,0.0,BUNCOMBE,28.1,79.59183673469387
230,BUNCOMBE_29.2,254,541,21,15,0,0.0,BUNCOMBE,29.2,36.10062893081761
231,BUNCOMBE_30.2,375,398,13,8,0,0.0,BUNCOMBE,30.2,2.975420439844761
232,BUNCOMBE_30.3,496,424,23,15,0,0.0,BUNCOMBE,30.3,-7.82608695652174
233,BUNCOMBE_31.1,278,308,7,5,0,0.0,BUNCOMBE,31.1,5.1194539249146755
234,BUNCOMBE_32.1,287,210,12,6,0,0.0,BUNCOMBE,32.1,-15.492957746478872
235,BUNCOMBE_33.2,161,158,8,9,0,0.0,BUNCOMBE,33.2,-0.9404388714733543
236,BUNCOMBE_33.3,251,235,8,10,0,0.0,BUNCOMBE,33.3,-3.292181069958848
237,BUNCOMBE_34.1,163,181,10,5,0,0.0,BUNCOMBE,34.1,5.232558139534884
238,BUNCOMBE_35.1,153,255,17,7,0,0.0,BUNCOMBE,35.1,25.0
239,BUNCOMBE_36.1,240,234,15,9,0,0.0,BUNCOMBE,36.1,-1.2658227848101267
240,BUNCOMBE_37.1,302,144,10,4,0,0.0,BUNCOMBE,37.1,-35.42600896860987
241,BUNCOMBE_38.2,349,163,9,5,0,0.0,BUNCOMBE,38.2,-36.328125
242,BUNCOMBE_38.3,566,283,18,20,1,0.0,BUNCOMBE,38.3,-33.33333333333333
243,BUNCOMBE_39.2,213,171,3,9,0,0.0,BUNCOMBE,39.2,-10.9375
244,BUNCOMBE_39.3,339,234,11,13,1,0.0,BUNCOMBE,39.3,-18.32460732984293
245,BUNCOMBE_40.2,595,302,14,14,0,0.0,BUNCOMBE,40.2,-32.6644370122631
246,BUNCOMBE_41.1,545,256,17,8,0,0.0,BUNCOMBE,41.1,-36.079900124843945
247,BUNCOMBE_42.1,303,255,10,7,1,2.0,BUNCOMBE,42.1,-8.60215053763441
248,BUNCOMBE_43.2,168,229,6,11,0,0.0,BUNCOMBE,43.2,15.365239294710328
249,BUNCOMBE_44.1,523,602,33,13,1,1.0,BUNCOMBE,44.1,7.022222222222223
250,BUNCOMBE_45.1,449,411,18,18,1,0.0,BUNCOMBE,45.1,-4.4186046511627906
251,BUNCOMBE_46.1,190,247,13,8,0,0.0,BUNCOMBE,46.1,13.043478260869565
252,BUNCOMBE_47.1,788,320,20,11,2,0.0,BUNCOMBE,47.1,-42.238267148014444
253,BUNCOMBE_48.1,516,334,31,12,0,0.0,BUNCOMBE,48.1,-21.41176470588235
254,BUNCOMBE_49.1,794,302,24,17,0,0.0,BUNCOMBE,49.1,-44.89051094890511
255,BUNCOMBE_50.1,377,185,3,9,0,0.0,BUNCOMBE,50.1,-34.16370106761566
256,BUNCOMBE_51.2,366,206,3,7,0,0.0,BUNCOMBE,51.2,-27.972027972027973
257,BUNCOMBE_52.1,628,276,18,8,0,0.0,BUNCOMBE,52.1,-38.93805309734513
258,BUNCOMBE_53.1,456,176,11,7,0,0.0,BUNCOMBE,53.1,-44.303797468354425
259,BUNCOMBE_54.2,409,458,15,13,0,0.0,BUNCOMBE,54.2,5.651672433679354
260,BUNCOMBE_55.1,431,376,19,14,1,0.0,BUNCOMBE,55.1,-6.815365551425032
261,BUNCOMBE_56.2,209,309,7,12,0,0.0,BUNCOMBE,56.2,19.305019305019304
262,BUNCOMBE_57.1,456,360,19,3,0,0.0,BUNCOMBE,57.1,-11.76470588235294
263,BUNCOMBE_58.1,264,277,16,10,0,0.0,BUNCOMBE,58.1,2.4029574861367835
264,BUNCOMBE_59.1,509,402,18,5,0,0.0,BUNCOMBE,59.1,-11.745334796926453
265,BUNCOMBE_60.2,151,201,6,5,0,0.0,BUNCOMBE,60.2,14.204545454545455
266,BUNCOMBE_60.4,200,230,12,4,0,1.0,BUNCOMBE,60.4,6.976744186046512
267,BUNCOMBE_61.1,396,390,10,5,0,0.0,BUNCOMBE,61.1,-0.7633587786259541
268,BUNCOMBE_62.1,317,373,12,10,0,0.0,BUNCOMBE,62.1,8.115942028985506
269,BUNCOMBE_63.1,136,83,5,4,0,0.0,BUNCOMBE,63.1,-24.200913242009133
270,BUNCOMBE_64.1,328,237,11,6,0,0.0,BUNCOMBE,64.1,-16.10619469026549
271,BUNCOMBE_65.1,340,459,14,8,1,0.0,BUNCOMBE,65.1,14.893617021276595
272,BUNCOMBE_66.1,208,212,10,6,0,0.0,BUNCOMBE,66.1,0.9523809523809524
273,BUNCOMBE_67.1,194,310,14,11,1,0.0,BUNCOMBE,67.1,23.015873015873016
274,BUNCOMBE_68.1,557,410,18,13,1,0.0,BUNCOMBE,68.1,-15.201654601861428
275,BUNCOMBE_681,97,40,3,1,0,0.0,BUNCOMBE,681,-41.605839416058394
276,BUNCOMBE_69.1,466,325,11,15,0,0.0,BUNCOMBE,69.1,-17.825537294563844
277,BUNCOMBE_70.1,305,522,15,20,0,1.0,BUNCOMBE,70.1,26.23941958887545
278,BUNCOMBE_71.1,328,451,19,14,2,0.0,BUNCOMBE,71.1,15.789473684210526
279,BUNCOMBE_ABSENTEE,0,0,0,0,0,0.0,BUNCOMBE,ABSENTEE,
280,BUNCOMBE_OS-BMBL,2165,3943,80,51,2,0.0,BUNCOMBE,OS-BMBL,29.10936476751801
281,BUNCOMBE_OS-COXE,262,2067,31,26,1,0.0,BUNCOMBE,OS-COXE,77.50107342206955
282,BUNCOMBE_OS-EABL,1630,5531,66,87,1,0.0,BUNCOMBE,OS-EABL,54.47563189498673
283,BUNCOMBE_OS-ECBL,3903,3939,74,67,5,1.0,BUNCOMBE,OS-ECBL,0.45906656465187456
284,BUNCOMBE_OS-FCTR,260,1503,17,14,0,0.0,BUNCOMBE,OS-FCTR,70.50482132728304
285,BUNCOMBE_OS-FVBL,2154,2776,57,34,2,1.0,BUNCOMBE,OS-FVBL,12.61663286004057
286,BUNCOMBE_OS-LECC,2622,1575,46,36,0,0.0,BUNCOMBE,OS-LECC,-24.94639027877055
287,BUNCOMBE_OS-NABL,950,6033,56,70,1,2.0,BUNCOMBE,OS-NABL,72.79106401260204
288,BUNCOMBE_OS-SBBL,3498,6125,98,65,3,1.0,BUNCOMBE,OS-SBBL,27.299179050192247
289,BUNCOMBE_OS-WABL,1165,5538,71,63,4,0.0,BUNCOMBE,OS-WABL,65.23944502461583
290,BUNCOMBE_OS-WGSC,118,2375,21,22,0,0.0,BUNCOMBE,OS-WGSC,90.53349378259125
291,BUNCOMBE_OS-WVCC,3620,5089,75,61,3,1.0,BUNCOMBE,OS-WVCC,16.86760822138018
292,BUNCOMBE_PROVISIONAL,0,0,0,0,0,0.0,BUNCOMBE,PROVISIONAL,
293,BUNCOMBE_TRANSFER,0,0,0,0,0,0.0,BUNCOMBE,TRANSFER,
294,BURKE_0001,1081,437,21,14,0,,BURKE,0001,-42.42424242424242
295,BURKE_0003,492,129,8,4,0,,BURKE,0003,-58.454106280193244
296,BURKE_0011,1152,230,24,14,0,,BURKE,0011,-66.71490593342982
297,BURKE_0012,941,110,11,5,1,,BURKE,0012,-79.06755470980019
298,BURKE_0013,1231,221,8,12,1,,BURKE,0013,-69.55922865013774
